******************************浮点输入的LSH测试*******************************

table_num key_size  scale   精度    查询用时ms    索引用时ms    索引内存MB    
80        30        300.00  0.152   100           870           24.45         
80        35        10.00   0.051   26            955           26.29         
80        35        30.00   0.122   67            936           26.09         
80        35        50.00   0.107   64            1007          26.48         
80        35        100.00  0.133   82            930           26.15         
80        35        200.00  0.152   109           1003          26.23         
80        35        300.00  0.122   83            959           26.58         
80        40        10.00   0.060   36            1032          27.74         
80        40        30.00   0.122   83            1044          27.32         
80        40        50.00   0.123   73            978           27.57         
80        40        100.00  0.112   64            992           27.45         
80        40        200.00  0.121   71            987           27.56         
80        40        300.00  0.113   66            995           27.35         
80        50        10.00   0.052   32            1135          30.47         
80        50        30.00   0.099   55            1073          30.08         
80        50        50.00   0.100   68            1105          30.32         
80        50        100.00  0.100   52            1095          30.43         
80        50        200.00  0.085   48            1127          30.43         
80        50        300.00  0.102   61            1070          29.73         
80        60        10.00   0.054   27            1154          31.82         
80        60        30.00   0.093   56            1153          31.89         
80        60        50.00   0.094   66            1184          31.89         
80        60        100.00  0.080   44            1166          32.48         
80        60        200.00  0.113   78            1183          31.99         
80        60        300.00  0.089   61            1164          32.11         
100       18        10.00   0.057   26            926           29.43         
100       18        30.00   0.150   83            912           28.88         
100       18        50.00   0.176   109           952           28.90         
100       18        100.00  0.168   97            992           29.60         
100       18        200.00  0.195   127           930           28.71         
100       18        300.00  0.198   147           896           28.64         
100       20        10.00   0.052   26            916           28.91         
100       20        30.00   0.138   96            920           28.76         
100       20        50.00   0.174   117           917           29.19         
100       20        100.00  0.158   97            949           29.29         
100       20        200.00  0.208   144           905           28.93         
100       20        300.00  0.207   156           961           28.40         
100       22        10.00   0.051   32            984           29.09         
100       22        30.00   0.141   81            972           29.20         
100       22        50.00   0.162   91            943           29.61         
100       22        100.00  0.205   153           956           29.43         
100       22        200.00  0.198   141           923           28.99         
100       22        300.00  0.171   100           918           29.11         
100       25        10.00   0.055   26            970           30.01         
